ms, num
2245, 7
2246, 14
2247, 11
2248, 8
2249, 8
2250, 7
2251, 14
2252, 10
2253, 8
2254, 9
2255, 8
2256, 16
2257, 9
2258, 8
2259, 8
2260, 9
2261, 16
2262, 8
2263, 8
2264, 8
2265, 10
2266, 21
2267, 19
2268, 18
2269, 18
2270, 20
2271, 39
2272, 16
2273, 18
2274, 17
2275, 24
2276, 26
2277, 18
2278, 25
2279, 17
2280, 21
2281, 31
2282, 10
2283, 11
2284, 15
2285, 10
2286, 9
2287, 9
2288, 13
2289, 14
2290, 10
2291, 17
2292, 14
2293, 14
2294, 16
2295, 9
2296, 17
2297, 9
2298, 17
2299, 8
2300, 16
2301, 13
2302, 16
2303, 15
2304, 18
2305, 11
2306, 16
2307, 10
2308, 14
2309, 12
2310, 14
2311, 11
2312, 15
2313, 12
2314, 14
2315, 9
2316, 17
2317, 8
2318, 15
2319, 13
2320, 8
2321, 18
2322, 9
2323, 9
2324, 14
2325, 18
2326, 18
2327, 19
2328, 8
2329, 16
2330, 11
2331, 14
2332, 11
2333, 17
2334, 8
2335, 16
2336, 10
2337, 16
2338, 11
2339, 15
